index,disease_name,description,Possible Steps,image_url
21,Potato : Early Blight,"? h?u h?t các khu v?c s?n xu?t, b?nh b?c lá s?m x?y ra hàng n?m ? m?t m?c ?? nào ?ó. M?c ?? nghiêm tr?ng c?a b?nh b?c lá s?m ph? thu?c vào t?n su?t ?m ??t c?a lá do m?a, s??ng ho?c t??i tiêu; tình tr?ng dinh d??ng c?a tán lá; và tính nh?y c?m v?i cây tr?ng. Các tri?u ch?ng ??u tiên c?a b?nh b?c lá s?m xu?t hi?n d??i d?ng các ??m nh?, tròn ho?c không ??u, màu nâu s?m ??n ?en trên lá già (d??i). Nh?ng ??m này m? r?ng ???ng kính lên ??n 3/8 inch và d?n d?n có th? tr? thành hình d?ng góc c?nh. Các t?n th??ng ban ??u trên lá non, m? r?ng hoàn toàn có th? b? nh?m l?n v?i t?n th??ng ??m nâu. Nh?ng t?n th??ng ??u tiên này xu?t hi?n kho?ng hai ??n ba ngày sau khi nhi?m trùng, v?i s? bào t? h?n n?a trên b? m?t c?a các t?n th??ng này x?y ra ba ??n n?m ngày sau ?ó.",Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,Potato : Late Blight,"V?t ch? chính là khoai tây, nh?ng P. infestans c?ng có th? lây nhi?m sang các cây solanaceous khác, bao g?m cà chua, petunias và nighthade lông, có th? ?óng vai trò là ngu?n tiêm cho khoai tây. Các tri?u ch?ng ??u tiên c?a b?nh s??ng mai trên ??ng ru?ng là các ??m nh?, màu xanh nh?t ??n xanh ??m, hình tròn ??n hình d?ng không ??u. Nh?ng t?n th??ng này th??ng xu?t hi?n ??u tiên ? lá d??i. Các t?n th??ng th??ng b?t ??u phát tri?n g?n ??u lá ho?c mép lá, n?i s??ng ???c gi? l?i lâu nh?t. Trong th?i ti?t mát m?, ?m ??t, nh?ng t?n th??ng này lan r?ng nhanh chóng thành các t?n th??ng l?n, màu nâu s?m ho?c ?en, th??ng xu?t hi?n nh?n. Các t?n th??ng trên lá c?ng th??ng ???c bao quanh b?i m?t qu?ng sáng úa vàng",The severe late blight can be effectively managed with prophylactic spray of mancozeb at 0.25% followed by cymoxanil+mancozeb or dimethomorph+mancozeb at 0.3% at the onset of disease and one more spray of mancozeb at 0.25% seven days after application of systemic fungicides in West Bengal ,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,Potato : Healthy,"Nhi?u lo?i khoai tây c?n ?? ?m phù h?p ?? phát tri?n, vì v?y hãy t??i n??c th??ng xuyên hàng ngày khi c? phát tri?n. Khi b?n t??i cây khoai tây, nó s? ??t ??n m?t ??t kho?ng 8-10 inch. Trong mùa nóng ho?c ?m, t??i n??c cho cây khoai tây v?i s? l??ng l?n hai l?n m?t ngày khi ??t khô nhanh.","Packed With Nutrients. Share on Pinterest.
Contain Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids (4).
May Improve Blood Sugar Control.
May Improve Digestive Health.
Naturally Gluten-Free.
Incredibly Filling.
Extremely Versatile.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24,Raspberry : Healthy,"T??i n??c m?t inch m?i tu?n t? mùa xuân cho ??n sau khi thu ho?ch. T??i n??c th??ng xuyên t?t h?n ngâm sâu không th??ng xuyên. Gi? cho b?i cây mâm xôi c?a b?n g?n gàng b?ng cách ?ào b?t k? ""mút"" ho?c g?y nào m?c cách xa các hàng; N?u b?n không ?ào chúng lên, chúng s? hút ch?t dinh d??ng ?i và b?n s? có ít qu? m?ng h?n vào n?m t?i.","They provide potassium, essential to heart function, and proven to lower blood pressure. The omega-3 fatty acids in raspberries can help prevent stroke and heart disease. They also contain a mineral called manganese, which is necessary for healthy bones and skin and helps regulate blood sugar.",https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,Soybean : Healthy,Gi? các lu?ng tr?ng ?m ??u cho ??n khi ??u nành ??y qua ??t. T??i n??c th??ng xuyên trong quá trình ra hoa và hình thành qu?. Tránh t??i n??c trên cao có th? khi?n hoa và v? r?ng. Ph? l?p ph? khi ??t ?m lên l?n h?n 60 ° F (16 ° C) ?? b?o t?n ?? ?m c?a ??t.,"high in fibre
high in protein
low in saturated fat
cholesterol free
lactose free
a good source of omega-3 fatty acids
a source of antioxidants
high in phytoestrogens.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,Squash : Powdery Mildew,"Các ??m ph?n tr?ng có th? hình thành trên c? b? m?t lá trên và d??i, và nhanh chóng m? r?ng thành các ??m l?n.

B?nh ph?n tr?ng làm suy y?u cây và qu? chín s?m. Qu? ngày càng ít m?c trên cây b? nhi?m b?nh.

Trong ?i?u ki?n ?m áp, khô ráo, bào t? m?i hình thành và d? dàng lây lan b?nh.

Các tri?u ch?ng c?a b?nh ph?n tr?ng xu?t hi?n l?n ??u tiên t? gi?a ??n cu?i mùa hè ? Minnesota.

Cung c?p chuy?n ??ng không khí t?t xung quanh cây thông qua kho?ng cách thích h?p, ??t c?c cây và ki?m soát c? d?i.

N?u các gi?ng m?n c?m ?ang phát tri?n trong m?t khu v?c mà ph?n tr?ng ?ã d?n ??n m?t n?ng su?t trong quá kh?, thu?c di?t n?m có th? là c?n thi?t.","Combine one tablespoon baking soda and one-half teaspoon of liquid, non-detergent soap with one gallon of water, and spray the mixture liberally on the plants. Mouthwash. The mouthwash you may use on a daily basis for killing the germs in your mouth can also be effective at killing powdery mildew spores.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,Strawberry : Leaf Scorch,"Các tri?u ch?ng cháy sém lá r?t gi?ng v?i giai ?o?n ??u c?a b?nh ??m lá ph? bi?n (Mycosphaerella), v?i các ??m màu tím s?m không ??u n?m r?i rác trên b? m?t lá phía trên. Khi các ??m m? r?ng, chúng b?t ??u trông gi?ng nh? nh?ng gi?t nh?a ???ng, và th?c s? là s? tích t? c?a c? th? ??u qu? màu ?en (acervuli) c?a n?m. Trung tâm c?a các ??m v?n có màu tím (trong ??m lá Mycosphaerella chúng có màu tr?ng) và không có ???ng vi?n t?n th??ng ???c xác ??nh rõ. Trong nhi?m trùng n?ng, các vùng này k?t h?p l?i và mô gi?a các t?n th??ng th??ng có màu tía ??n ?? t??i ph? thu?c vào gi?ng cây, nhi?t ?? ho?c các y?u t? khác. Lá cu?i cùng chuy?n sang màu nâu, khô và cu?n tròn ? mép lá t?o cho chi?c lá v? ngoài cháy xém. Ki?m tra acervuli và hình thái hình nón có th? giúp phân bi?t gi?a ??m lá và cháy lá ? giai ?o?n ti?n tri?n c?a b?nh. Trên b? m?t lá phía trên c?a các t?n th??ng cháy sém lá, acervuli có màu s?m v?i các kh?i bào t? l?p lánh và apothecia s?m màu. Các t?n th??ng cu?ng lá thon dài, tr?ng, có màu tía ??n nâu và có th? gi?t ch?t lá b?ng cách d?m cu?ng lá. Ng??i ch?y b?, thân qu?, qu? và m? c?ng có th? b? nhi?m b?nh. Cây có th? b? suy y?u và s? l??ng và s?c s?ng c?a v??ng mi?n gi?m. Nhi?m trùng khi?n cây b? c?ng th?ng mùa ?ông và h?n hán. Trong s? phá ho?i nghiêm tr?ng, hoa và qu? có th? ch?t.","While leaf scorch on strawberry plants can be frustrating, there are some strategies which home gardeners may employ to help prevent its spread in the garden. The primary means of strawberry leaf scorch control should always be prevention. Since this fungal pathogen overwinters on the fallen leaves of infected plants, proper garden sanitation is key. This includes the removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants. The creation of new plantings and strawberry patches is key to maintaining a consistent strawberry harvest, as older plants are more likely to show signs of severe infection.",https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,Strawberry : Healthy,"Tìm cho chúng m?t n?i ??y n?ng vì chúng yêu thích và c?n nhi?u ánh sáng. Tôi thích m?t n?i mà h? nh?n ???c m?t tr?i bu?i sáng.

N?u b?n ?? chúng trong ch?u và / ho?c các v?t ch?a khác, t?t nh?t là di chuy?n chúng vào ban ngày ?? t?n d?ng ánh sáng m?t tr?i thay ??i.

Chúng là nh?ng cây khát n??c. T??i n??c cho chúng hàng ngày, ??c bi?t n?u chúng ?ang s?n xu?t trái cây. T?t nh?t là làm ?i?u ?ó vào bu?i sáng và tránh làm ??t lá ?? phòng b?nh.

Gi? chúng ???c b?o v? kh?i ?i?u ki?n th?i ti?t kh?c nghi?t và gió. Xin l?u ý r?ng ngay c? khi h? thích ánh sáng m?t tr?i, vi?c ti?p xúc v?i ánh sáng m?t tr?i tr?c ti?p gi?a tr?a c?ng có th? gây h?i.

Ki?m tra ch?u ?? thoát n??c t?t.

Gi? c? d?i và cây không mong mu?n trong ki?m tra.

B?n c?n bón phân cho chúng vì chúng c?n r?t nhi?u n?ng l??ng ?? s?n xu?t dâu tây. Mua phân bón cân b?ng (10-10-10, 12-12-12, v.v.). Th?c hi?n theo các h??ng d?n vì quá nhi?u phân bón có th? làm gi?m n?ng su?t trái cây và nó c?ng có th? kích thích s?n xu?t Á h?u.","The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer.

Packed with vitamins, fiber, and particularly high levels of antioxidants known as polyphenols, strawberries are a sodium-free, fat-free, cholesterol-free, low-calorie food. They are among the top 20 fruits in antioxidant capacity and are a good source of manganese and potassium. Just one serving -- about eight strawberries -- provides more vitamin C than an orange.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29,Tomato : Bacterial Spot,"B?nh ??m vi khu?n c?a cà chua là m?t c?n b?nh có kh? n?ng tàn phá, trong tr??ng h?p nghiêm tr?ng, có th? d?n ??n trái cây không th? bán ???c và th?m chí ch?t cây.  B?nh ??m vi khu?n có th? x?y ra b?t c? n?i nào cà chua ???c tr?ng, nh?ng ???c tìm th?y th??ng xuyên nh?t ? vùng khí h?u ?m áp, ?m ??t, c?ng nh? trong nhà kính.  B?nh th??ng là m?t v?n ?? ? Wisconsin.B?nh ??m vi khu?n có th? ?nh h??ng ??n t?t c? các b? ph?n trên m?t ??t c?a cây cà chua, bao g?m lá, thân và qu?.  ??m vi khu?n xu?t hi?n trên lá d??i d?ng các khu v?c hình tròn nh? (nh? h?n ? inch), ?ôi khi ??t s?ng n??c (t?c là trông ?m ??t).  Các ??m ban ??u có th? có màu vàng-xanh, nh?ng s?m màu ??n nâu ?? khi chúng già ?i.  Khi b?nh n?ng, vàng lá lan r?ng và r?ng lá c?ng có th? x?y ra.  Trên qu? xanh, các ??m th??ng nh?, n?i lên và gi?ng nh? v?t ph?ng r?p, và có th? có qu?ng sáng màu vàng.  Khi qu? tr??ng thành, các ??m m? r?ng (??t kích th??c t?i ?a 1/4 inch) và chuy?n sang màu nâu, gh? và s?n sùi.  Các ??m tr??ng thành có th? ???c nâng lên, ho?c chìm v?i các c?nh n?i lên.","Plant pathogen-free seed or transplants to prevent the introduction of bacterial spot pathogens on contaminated seed or seedlings.  If a clean seed source is not available or you suspect that your seed is contaminated, soak seeds in water at 122°F for 25 min. to kill the pathogens.  To keep leaves dry and to prevent the spread of the pathogens, avoid overhead watering (e.g., with a wand or sprinkler) of established plants and instead use a drip-tape or soaker-hose.  Also to prevent spread, DO NOT handle plants when they are wet (e.g., from dew) and routinely sterilize tools with either 10% bleach solution or (better) 70% alcohol (e.g., rubbing alcohol).  Where bacterial spot has been a recurring problem, consider using preventative applications of copper-based products registered for use on tomato, especially during warm, wet periods.  Keep in mind however, that if used excessively or for prolonged periods, copper may no longer control the disease.  Be sure to read and follow all label instructions of the product that you select to ensure that you use it in the safest and most effective manner possible.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30,Tomato : Early Blight,"B?nh s??ng mai s?m là m?t trong nh?ng b?nh cà chua ph? bi?n nh?t, x?y ra g?n nh? m?i mùa ? b?t c? n?i nào cà chua ???c tr?ng.

Nó ?nh h??ng ??n lá, qu? và thân cây và có th? h?n ch? n?ng su?t nghiêm tr?ng khi s? d?ng các gi?ng cây m?n c?m và th?i ti?t thu?n l?i.

R?ng lá nghiêm tr?ng có th? x?y ra và d?n ??n cháy n?ng trên qu?.

B?nh b?c lá s?m là ph? bi?n ? c? ??ng ru?ng và s?n xu?t cà chua ???ng h?m cao ? Minnesota.","Prune or stake plants to improve air circulation and reduce fungal problems.
Make sure to disinfect your pruning shears (one part bleach to 4 parts water) after each cut.
Keep the soil under plants clean and free of garden debris. Add a layer of organic compost to prevent the spores from splashing back up onto vegetation.
Drip irrigation and soaker hoses can be used to help keep the foliage dry.
For best control, apply copper-based fungicides early, two weeks before disease normally appears or when weather forecasts predict a long period of wet weather. Alternatively, begin treatment when disease first appears, and repeat every 7-10 days for as long as needed.
Containing copper and pyrethrins, Bonide® Garden Dust is a safe, one-step control for many insect attacks and fungal problems. For best results, cover both the tops and undersides of leaves with a thin uniform film or dust. Depending on foliage density, 10 oz will cover 625 sq ft. Repeat applications every 7-10 days, as needed.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31,Tomato : Late Blight,"B?nh s??ng mai là do oomycete Phytophthora infestans gây ra. Oomycetes là nh?ng sinh v?t gi?ng n?m còn ???c g?i là n?m m?c n??c, nh?ng chúng không ph?i là n?m th?c s?.

Có nhi?u ch?ng P. infestans khác nhau. Chúng ???c g?i là dòng dõi vô tính và ???c ch? ??nh b?i m?t mã s? (t?c là US-23). Nhi?u dòng dõi vô tính ?nh h??ng ??n c? cà chua và khoai tây, nh?ng m?t s? dòng dõi ??c tr?ng cho v?t ch? này hay v?t ch? khác. B?nh s??ng mai là m?t c?n b?nh có kh? n?ng tàn phá cà chua và khoai tây, lây nhi?m lá, thân và qu? c?a cây cà chua.

B?nh lây lan nhanh chóng trên các cánh ??ng và có th? d?n ??n m?t mùa hoàn toàn n?u không ???c ?i?u tr?.

B?nh s??ng mai c?a khoai tây là nguyên nhân gây ra n?n ?ói khoai tây Ailen vào cu?i nh?ng n?m 1840.","Sanitation is the first step in controlling tomato late blight. Clean up all debris and fallen fruit from the garden area. This is particularly essential in warmer areas where extended freezing is unlikely and the late blight tomato disease may overwinter in the fallen fruit. Currently, there are no strains of tomato available that are resistant to late tomato blight, so plants should be inspected at least twice a week. Since late blight symptoms are more likely to occur during wet conditions, more care should be taken during those times. For the home gardener, fungicides that contain maneb, mancozeb, chlorothanolil or fixed copper can help protect plants from late tomato blight. Repeated applications are necessary throughout the growing season as the disease can strike at any time. For organic gardeners, there are some fixed copper products approved for use; otherwise, all infected plants must be immediately removed and destroyed.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
32,Tomato : Leaf Mold,"N?m m?c lá cà chua là m?t b?nh n?m có th? phát tri?n khi có th?i gian ?m ??t lá kéo dài và ?? ?m t??ng ??i cao (l?n h?n 85%). Do yêu c?u ?? ?m này, b?nh ???c nhìn th?y ch? y?u trong các nhà kho và nhà kính. N?m m?c lá cà chua có th? phát tri?n trong nhi?t ?? ??u mùa xuân (50,9 ?? F) ho?c nh?ng ??c ?i?m c?a mùa hè (90 F). Nhi?t ?? t?i ?u khuôn lá cà chua là ? nh?ng n?m 70 th?p.

Các tri?u ch?ng c?a b?nh bao g?m các ??m vàng ? b? m?t lá phía trên. Các kh?i bào t? màu xanh ô liu r?i r?c có th? ???c nhìn th?y ? m?t d??i c?a lá b? ?nh h??ng.","When treating tomato plants with fungicide, be sure to cover all areas of the plant that are above the soil, especially the underside of leaves, where the disease often forms. Calcium chloride-based sprays are recommended for treating leaf mold issues. Organic fungicide options are also available.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33,Tomato : Septoria Leaf Spot,"B?nh ??m lá Septoria là do m?t lo?i n?m, Septoria lycopersici gây ra. ?ây là m?t trong nh?ng b?nh phá ho?i nh?t c?a tán lá cà chua và ??c bi?t nghiêm tr?ng ? nh?ng khu v?c có th?i ti?t ?m ??t, ?m ??t kéo dài trong th?i gian dài. ??m lá Septoria th??ng xu?t hi?n ? lá d??i sau khi b? qu? ??u tiên. Các ??m có hình tròn, ???ng kính kho?ng 1/16 ??n 1/4 inch v?i rìa màu nâu s?m và trung tâm màu nâu ??n xám v?i c?u trúc qu? nh? màu ?en. ??c tr?ng, có nhi?u ??m trên lá. B?nh này lây lan lên t? t?ng tr??ng già nh?t ??n tr? nh?t. N?u t?n th??ng lá nhi?u, lá chuy?n sang màu h?i vàng, sau ?ó màu nâu, và sau ?ó khô héo. Nhi?m trùng trái cây là r?t hi?m.","Remove diseased leaves. 
Improve air circulation around the plants.
Mulch around the base of the plants. Mulching will reduce splashing soil, which may contain fungal spores associated with debris. Apply mulch after the soil has warmed.
Do not use overhead watering. Overhead watering facilitates infection and spreads the disease. Use a soaker hose at the base of the plant to keep the foliage dry. Water early in the day.
Control weeds. Nightshade and horsenettle are frequently hosts of Septoria leaf spot and should be eradicated around the garden site.
Use crop rotation. Next year do not plant tomatoes back in the same location where diseased tomatoes grew. Wait 1–2 years before replanting tomatoes in these areas.
Use fungicidal sprays.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34,Tomato : Spider Mites | Two-Spotted Spider Mite,"Nh?n nh?n hai ??m là loài ve ph? bi?n nh?t t?n công cây rau và trái cây ? New England. Nh?n nh?n có th? x?y ra trong cà chua, cà tím, khoai tây, cây nho nh? d?a, d?a chu?t và các lo?i cây tr?ng khác. Nh?n nh?n hai ??m là m?t trong nh?ng loài gây h?i quan tr?ng nh?t c?a cà tím. Chúng có t?i 20 th? h? m?i n?m và ???c ?a chu?ng b?i nit? d? th?a và ?i?u ki?n khô và b?i. S? bùng phát th??ng ???c gây ra b?i vi?c s? d?ng thu?c tr? sâu ph? r?ng can thi?p vào nhi?u k? thù t? nhiên giúp qu?n lý qu?n th? ve. Nh? v?i h?u h?t các loài gây h?i, b?t v?n ?? s?m s? có ngh?a là ki?m soát d? dàng h?n.","Avoid weedy fields and do not plant eggplant adjacent to legume forage crops.
Avoid early season, broad-spectrum insecticide applications for other pests.
Do not over-fertilize.
Overhead irrigation or prolonged periods of rain can help reduce populations.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35,Tomato : Target Spot,"B?nh b?t ??u trên lá già và lan lên trên. D?u hi?u ??u tiên là nh?ng ??m có hình d?ng không ??u (d??i 1 mm) v?i l? màu vàng . M?t s? ?i?m phóng to lên ??n 10 mm và hi?n th? các vòng ??c ?i?m, do ?ó có tên là ""?i?m m?c tiêu"" . Lây lan sang t?t c? các lá chét và sang các lá khác r?t nhanh , khi?n lá chuy?n sang màu vàng, s?p ?? và ch?t . Các ??m c?ng x?y ra trên thân cây. Chúng dài và m?ng. Nh?ng ??m nh? màu nâu nh?t v?i rìa t?i c?ng có th? x?y ra trên qu?.

Các bào t? ???c phát tán b?i m?a gió th?i, và n?u th?i ti?t ?m ??t gió ti?p t?c trong m?t vài ngày, s? lây lan nhanh chóng và cây m?t lá nhanh chóng.","Cultural control is important. The following should be done:
Do not plant new crops next to older ones that have the disease.
Plant as far as possible from papaya, especially if leaves have small angular spots (Photo 5).
Check all seedlings in the nursery, and throw away any with leaf spots.
Remove a few branches from the lower part of the plants to allow better airflow at the base
Remove and burn the lower leaves as soon as the disease is seen, especially after the lower fruit trusses have been picked.
Keep plots free from weeds, as some may be hosts of the fungus.
Do not use overhead irrigation; otherwise, it will create conditions for spore production and infection.
Collect and burn as much of the crop as possible when the harvest is complete.
Practise crop rotation, leaving 3 years before replanting tomato on the same land.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36,Tomato : Yellow Leaf Curl Virus,"Tomato yellow leaf curl virus là m?t loài thu?c chi Begomovirus và h? Geminiviridae. Nhi?m vi-rút xo?n lá vàng cà chua (TYLCV) gây ra các tri?u ch?ng nghiêm tr?ng trên cây cà chua và gây t?n th?t n?ng su?t nghiêm tr?ng trên toàn th? gi?i. TYLCV ???c truy?n liên t?c b?i ru?i tr?ng khoai lang, Bemisia tabaci (Gennadius). Các gi?ng cây tr?ng và gi?ng lai v?i m?t ho?c m?t vài gen có kh? n?ng kháng TYLCV th??ng ???c tr?ng ?? gi?m thi?u t?n th?t do TYLCV gây ra. Nh?ng ki?u gen kháng thu?c này (gi?ng ho?c gi?ng lai) không mi?n d?ch v?i TYLCV. Chúng th??ng b? nhi?m trùng toàn thân, bi?u hi?n các tri?u ch?ng nh? và t?o ra cà chua d? bán trên th? tr??ng h?n so v?i các ki?u gen nh?y c?m d??i áp l?c TYLCV. Trong m?t s? h? th?ng b?nh lý, vi?c s? d?ng r?ng rãi các gi?ng kháng b?nh v?i gen kháng tr?i duy nh?t ?ã d?n ??n áp l?c ch?n l?c m?nh m? ??i v?i virus, phát tri?n các ch?ng có ??c l?c cao và s? c? kháng thu?c.",Use only virus-and whitefly-free tomato and pepper transplants. Transplants should be treated with Capture (bifenthrin) or Venom (dinotefuran) for whitefly adults and Oberon for eggs and nymphs. Imidacloprid or thiamethoxam should be used in transplant houses at least seven days before shipping. Imidacloprid should be sprayed on the entire plant and below the leaves; eggs and flies are often found below the leaves. Spray every 14-21 days and rotate on a monthly basis with Abamectin so that the whiteflies do not build-up resistance to chemicals.,https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37,Tomato : Mosaic Virus,"Virus kh?m cà chua (ToMV) và virus kh?m thu?c lá (TMV) r?t khó phân bi?t.

Virus kh?m cà chua (ToMV) có th? gây vàng và còi c?c cho cây cà chua d?n ??n m?t chân ?? và gi?m n?ng su?t.

ToMV có th? gây ra qu? chín không ??u, làm gi?m n?ng su?t h?n n?a.

Virus kh?m thu?c lá (TMV) t?ng ???c cho là ph? bi?n h?n trên cà chua. 

TMV th??ng là m?m b?nh thu?c lá h?n là m?m b?nh cà chua. L?m ??m sáng và màu xanh ??m trên lá.

Lá cà chua non có ??m sáng và màu xanh ??m, phát tri?n còi c?c, lá cu?n tròn và d? d?ng.

Các tri?u ch?ng vi-rút kh?m thu?c lá trên cây gi?ng cà chua

N?u cây b? nhi?m b?nh s?m, chúng có th? xu?t hi?n màu vàng và còi c?c t?ng th?.

Lá có th? b? cong, d? d?ng ho?c gi?m kích th??c.","Use certified disease-free seed or treat your own seed.
Soak seeds in a 10% solution of trisodium phosphate (Na3PO4) for at least 15 minutes.
Or heat dry seeds to 158 °F and hold them at that temperature for two to four days.
Purchase transplants only from reputable sources. Ask about the sanitation procedures they use to prevent disease.
Inspect transplants prior to purchase. Choose only transplants showing no clear symptoms.
Avoid planting in fields where tomato root debris is present, as the virus can survive long-term in roots.
Wash hands with soap and water before and during the handling of plants to reduce potential spread between plants.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38,Tomato : Healthy,"Bón phân m?t tu?n tr??c, c?ng nh? vào ngày tr?ng. H? ??c bi?t yêu thích ph?t pho, thúc ??y s? hình thành hoa và các lo?i trái cây ho?c rau qu? m?c t? chúng. Tránh nit? cao khi cây cà chua c?a b?n có hoa vì nó thúc ??y s? phát tri?n c?a cây nho h?n là s? phát tri?n c?a qu?. ??ng ?ông cây gi?ng cà chua.Cung c?p nhi?u ánh sáng.Làm nóng ??t v??n.Chôn thân cây.Ph? cà chua sau khi ??t ?ã ?m lên.Lo?i b? lá phía d??i.Véo và c?t t?a cho nhi?u cà chua h?n.T??i n??c th??ng xuyên.","The tomato (Solanum lycopersicum) is a fruit from the nightshade family native to South America.

Despite botanically being a fruit, it’s generally eaten and prepared like a vegetable.

Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer.

They are also a great source of vitamin C, potassium, folate, and vitamin K.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
